Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 69.0.3497.92,,2018-09-14 16:01:11,2018-09-14 17:06:42,1h - 5m - 30.866s,FAILED
,,,,,,
Test Cases/completed/TestCase1_Login/Email_Invalid,Chrome 69.0.3497.92,When Email entered is invalid or not in the database,2018-09-14 16:01:11,2018-09-14 16:01:22,10.474s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 16:01:12,2018-09-14 16:01:16,4.276s,PASSED
navigateToUrl,Chrome 69.0.3497.92,Open the URL,2018-09-14 16:01:16,2018-09-14 16:01:20,3.735s,PASSED
setText,Chrome 69.0.3497.92,enter the invalid email id,2018-09-14 16:01:20,2018-09-14 16:01:20,0.378s,PASSED
click,Chrome 69.0.3497.92,click on GET OTP button,2018-09-14 16:01:20,2018-09-14 16:01:20,0.205s,PASSED
waitForElementPresent,Chrome 69.0.3497.92,validate retry button is displayed,2018-09-14 16:01:20,2018-09-14 16:01:21,0.100s,PASSED
verifyElementText,Chrome 69.0.3497.92,validate the retry button is present,2018-09-14 16:01:21,2018-09-14 16:01:21,0.088s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,validate the inactive OTP button,2018-09-14 16:01:21,2018-09-14 16:01:21,0.085s,PASSED
click,Chrome 69.0.3497.92,click on the Retry button,2018-09-14 16:01:21,2018-09-14 16:01:21,0.114s,PASSED
verifyMatch,Chrome 69.0.3497.92,after click on retry button then validate the empty email input box,2018-09-14 16:01:21,2018-09-14 16:01:21,0.142s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-14 16:01:21,2018-09-14 16:01:22,0.845s,PASSED
,,,,,,
Test Cases/completed/TestCase1_Login/LoginWrongOTP,Chrome 69.0.3497.92,Agnet login with wrong OTP,2018-09-14 16:01:22,2018-09-14 16:01:32,10.462s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 16:01:22,2018-09-14 16:01:24,2.061s,PASSED
navigateToUrl,Chrome 69.0.3497.92,open the URL,2018-09-14 16:01:24,2018-09-14 16:01:27,3.319s,PASSED
maximizeWindow,Chrome 69.0.3497.92,,2018-09-14 16:01:27,2018-09-14 16:01:29,1.156s,PASSED
setText,Chrome 69.0.3497.92,Eneter the valid email id,2018-09-14 16:01:29,2018-09-14 16:01:29,0.490s,PASSED
click,Chrome 69.0.3497.92,click on GET OTP button,2018-09-14 16:01:29,2018-09-14 16:01:29,0.175s,PASSED
setText,Chrome 69.0.3497.92,enter the wrong OTP,2018-09-14 16:01:29,2018-09-14 16:01:31,1.732s,PASSED
click,Chrome 69.0.3497.92,click on submit button,2018-09-14 16:01:31,2018-09-14 16:01:31,0.081s,PASSED
verifyElementText,Chrome 69.0.3497.92,validate the Retry button,2018-09-14 16:01:31,2018-09-14 16:01:32,1.076s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,validate the inactive OTP button,2018-09-14 16:01:32,2018-09-14 16:01:32,0.028s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:01:32,2018-09-14 16:01:32,0.080s,PASSED
,,,,,,
Test Cases/completed/TestCase1_Login/Simple_Login,Chrome 69.0.3497.92,Successful login,2018-09-14 16:01:32,2018-09-14 16:01:59,26.450s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 16:01:33,2018-09-14 16:01:36,2.877s,PASSED
maximizeWindow,Chrome 69.0.3497.92,,2018-09-14 16:01:36,2018-09-14 16:01:37,1.121s,PASSED
navigateToUrl,Chrome 69.0.3497.92,open a link through global varaiable,2018-09-14 16:01:37,2018-09-14 16:01:40,3.001s,PASSED
setText,Chrome 69.0.3497.92,enter the email id through global variable,2018-09-14 16:01:40,2018-09-14 16:01:40,0.424s,PASSED
click,Chrome 69.0.3497.92,click on GET OTP Button,2018-09-14 16:01:40,2018-09-14 16:01:40,0.216s,PASSED
waitForElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:01:40,2018-09-14 16:01:42,1.576s,PASSED
